agency_id,agency_name,agency_url,agency_timezone
"Default","NVBW","http://www.nvbw.de","Europe/Berlin"
"ovf-37","Ehrlich-Touristik GmbH & Co. KG         ","https://www.dbregiobus-bayern.de","Europe/Berlin"
"omp-48","Schwarzer Reisen","http://www.nvbw.de","Europe/Berlin"
"omp-56","BBS Mittelschwaben","http://www.nvbw.de","Europe/Berlin"
"omp-63","Brandner Unterallgäu KG","http://www.nvbw.de","Europe/Berlin"
"omp-72","Stadtbus Kempten","http://www.nvbw.de","Europe/Berlin"
"omp-93","RBA Kempten","http://www.nvbw.de","Europe/Berlin"
"omp-94","RBA Lindau","http://www.nvbw.de","Europe/Berlin"
"omp-95","NeuBus","http://www.nvbw.de","Europe/Berlin"
"omp-99","Schwabenbus Dillingen","http://www.nvbw.de","Europe/Berlin"
"vgn-WE","Wellhoefer Fritz","http://www.nvbw.de","Europe/Berlin"
"vu-58","Ehrlich Touristik","http://www.nvbw.de","Europe/Berlin"
"vvs-10","DB","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-12","SWEG","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-37","SVG Schienenverkehrsgesellschaft","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-71","WEG","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-01","SSB","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-69","Städtischer Verkehrsbetrieb Esslingen (SVE)","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-99","Schlienz-Tours","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-32","GR Omnibus (GRO)","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-140","Fischle Regionalverkehr Stuttgart","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-26","Friedrich Müller Omnibusunternehmen (FMO)","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-98","OVR","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-28","Württembergische Bus-Gesellschaft (WBG)","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-91","Dannenmann","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-88","Eisemann","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-83","Knisel","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-82","LVL","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-110","Zweckverband Schönbuchbahn","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-127","Bietergemeinschaft Flattich - SVL","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-80","Flattich","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-84","Seiz","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-85","Spillmann","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-42","Stadtwerke Leonberg","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-53","Kappus","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-58","Wöhr Tours","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-56","Seitter","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-55","SBS Pflieger","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-25","RVP","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-52","Hassler","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-51","Däuble","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-22","Regionalverkehr Alb-Bodensee (RAB)","https://www.vvs.de/fahrplan/","Europe/Berlin"
