service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"Special","0","0","0","0","0","0","0","20250908","20251212"
"Special#2","0","0","0","0","0","0","0","20250912","20251212"
"Special#3","0","0","0","0","0","0","0","20250913","20251213"
"Special#4","0","0","0","0","0","0","0","20250908","20251205"
"Special#5","0","0","0","0","0","0","0","20250907","20251207"
"Special#6","0","0","0","0","0","0","0","20250912","20251213"
"Special#7","0","0","0","0","0","0","0","20250915","20251212"
"Special#8","0","0","0","0","0","0","0","20250915","20251211"
"Special#9","0","0","0","0","0","0","0","20251222","20260105"
"Special#10","0","0","0","0","0","0","0","20251215","20260227"
"Special#11","0","0","0","0","0","0","0","20251215","20260227"
"Special#12","0","0","0","0","0","0","0","20251215","20260226"
"Special#13","0","0","0","0","0","0","0","20250913","20260228"
"Special#14","0","0","0","0","0","0","0","20250908","20260220"
"Special#15","0","0","0","0","0","0","0","20250916","20260227"
"Special#16","0","0","0","0","0","0","0","20250916","20260226"
"Special#17","0","0","0","0","0","0","0","20250916","20251212"
"Special#18","0","0","0","0","0","0","0","20251215","20260227"
"Special#19","0","0","0","0","0","0","0","20250908","20260227"
"Special#20","0","0","0","0","0","0","0","20251023","20251212"
"Special#21","0","0","0","0","0","0","0","20251103","20251119"
"Special#22","0","0","0","0","0","0","0","20250916","20251022"
"Special#23","0","0","0","0","0","0","0","20250916","20251022"
"Special#24","0","0","0","0","0","0","0","20251023","20251211"
"Special#25","0","0","0","0","0","0","0","20251023","20251212"
"Special#26","0","0","0","0","0","0","0","20250908","20250915"
"Special#27","0","0","0","0","0","0","0","20250908","20251022"
"Special#28","0","0","0","0","0","0","0","20250908","20251017"
"Special#29","0","0","0","0","0","0","0","20251024","20251212"
"Special#30","0","0","0","0","0","0","0","20250913","20251018"
"Special#31","0","0","0","0","0","0","0","20251025","20251213"
"Special#32","0","0","0","0","0","0","0","20251026","20251207"
"Special#33","0","0","0","0","0","0","0","20250907","20251019"
"Special#34","0","0","0","0","0","0","0","20250913","20260228"
"Special#35","0","0","0","0","0","0","0","20250907","20260222"
"Special#36","0","0","0","0","0","0","0","20250908","20260227"
"Special#37","0","0","0","0","0","0","0","20250916","20260227"
"Special#38","0","0","0","0","0","0","0","20250918","20260226"
"Special#39","0","0","0","0","0","0","0","20250907","20250907"
"Special#40","0","0","0","0","0","0","0","20250907","20260228"
"Special#41","0","0","0","0","0","0","0","20250912","20260228"
