route_id,agency_id,route_short_name,route_long_name,route_type
"ovf-1-5523-1","Default","977","Wertheim, ZOB-Würzburg Neue Universität","3"
"ovf-1-5524-1","Default","972","Freudenberg (Main) Rathaus-Wertheim, ZOB","3"
"ovf-1-5524-2","ovf-37","972","Wessental-Wertheim, ZOB","3"
"omp-48-506-1","omp-48","506","Nördlingen - Ederheim - Amerdingen","3"
"omp-48-506R-1","omp-48","506","Amerdingen - Ederheim - Nördlingen","3"
"omp-56-078-1","omp-56","78","Weißenhorn - Finningen - Ulm","3"
"omp-56-855-1","omp-56","855","Günzburg - Riedhausen","3"
"omp-63-966-1","omp-63","966","Memmingen - Legau","3"
"omp-72-150R-1","omp-72","150","Hbf - ZUM - Jakobwiese - Stiftallmey - Rothkreuz - Buchenberg - Wengen - Weitnau - Isny","3"
"omp-93-050-1","omp-93","50","Kempten - Buchenberg - Wengen/Weitnau - Sibratshofen - Isny","3"
"omp-93-066-1","omp-93","66","Leutkirch - Frauenzell - Kimratshofen - Altusried -Krugzell - Kempten","3"
"omp-93-080-1","omp-93","80","Kreuzthal - Kempten","3"
"omp-94-019-1","omp-94","19","Wangen - Neuravensburg - Oberreitnau Die Stundenlinie","3"
"omp-94-0192-1","omp-94","192","Lindau, Hauptbahnhof - Wangen","3"
"omp-95-086-1","omp-95","86","Ulm - Unterfahlheim gültig ab 14.12.2025","3"
"omp-99-9097-1","omp-99","9097","Dischingen - Wittislingen- Dillingen gültig ab 14.12.2025","3"
"omp-99-9105-1","omp-99","9105","Donauwörth - Dillingen - Sontheim/Brenz gültig ab 14.12.2025","3"
"vgn-63-817-1","vgn-WE","817","Rothenburg o.d.T.  -  Schnelldorf  -  Feuchtwangen","3"
"wvv-10-492e-1","Default","492","Würzburg Busbahnhof - Kist - Alterheim - Steinbach","3"
"vu-1-096-1","vu-58","96","Amorbach, Bahnhof-Amorbach, Bahnhof","3"
"vu-1-097-1","vu-58","97","Amorbach, Schulzentrum-Amorbach, Schulzentrum","3"
"vvs-10-061-1","vvs-10","S61","Herrenberg - Renningen (- Stuttgart)","0"
"vvs-11-040-1","vvs-10","RE40","Herrenberg - Freudenstadt","2"
"vvs-11-041-1","vvs-10","RB41","Freudenstadt - Herrenberg","2"
"vvs-11-076-1","vvs-12","RB76","Renningen - Weil der Stadt - Calw (Hermann-Hesse-Bahn)","2"
"vvs-11-SVG-1","vvs-37","SVG","Konstanz - Horb - Stuttgart","2"
"vvs-12-046-1","vvs-71","RB46","Böblingen - Holzgerlingen - Dettenhausen (Schönbuchbahn)","2"
"vvs-12-047-1","vvs-71","RB47","Korntal - Hemmingen - Heimerdingen (Strohgäubahn)","2"
"vvs-12-061-1","vvs-71","RB61","Rudersberg - Schorndorf (Wieslauftalbahn)","2"
"vvs-12-065-1","vvs-71","RB65","Neuffen - Nürtingen (Tälesbahn)","2"
"vvs-13-064-1","vvs-10","RB64","Kirchheim (T) - Oberlenningen","2"
"vvs-20-001-1","vvs-01","U1","Heslach Vogelrain - Hauptbahnhof - Fellbach","0"
"vvs-20-011-1","vvs-01","U11","NeckarPark (Stadion) - Charlottenplatz - Berliner Platz - Hauptbahnhof","0"
"vvs-20-012-1","vvs-01","U12","Dürrlewang - Hauptbahnhof - Remseck","0"
"vvs-20-013-1","vvs-01","U13","Hedelfingen - Bad Cannstatt - Feuerbach","0"
"vvs-20-014-1","vvs-01","U14","Vaihingen - Charlottenplatz - Mühlhausen","0"
"vvs-20-015-1","vvs-01","U15","(Heumaden-) Ruhbank - Hauptbahnhof - Stammheim","0"
"vvs-20-016-1","vvs-01","U16","Fellbach - Bad Cannstatt - Feuerbach - Giebel","0"
"vvs-20-019-1","vvs-01","U19","NeckarPark (Stadion) - Bad Cannstatt Wilhelmsplatz","0"
"vvs-20-002-1","vvs-01","U2","Botnang - Charlottenplatz - Neugereut","0"
"vvs-20-003-1","vvs-01","U3","Vaihingen - Möhringen - Plieningen","0"
"vvs-20-004-1","vvs-01","U4","Hölderlinplatz - Charlottenplatz - Untertürkheim","0"
"vvs-20-005-1","vvs-01","U5","Leinfelden Neuer Markt - Hauptbahnhof - Killesberg","0"
"vvs-20-006-1","vvs-01","U6","Flughafen/Messe - Hauptbahnhof - Gerlingen","0"
"vvs-20-007-1","vvs-01","U7","Ostfildern - Hauptbahnhof - Mönchfeld","0"
"vvs-20-008-1","vvs-01","U8","Vaihingen - Degerloch - Ostfildern","0"
"vvs-20-009-1","vvs-01","U9","(Botnang-) Vogelsang - Hauptbahnhof - Hedelfingen","0"
"vvs-21-010-1","vvs-01","10","Degerloch - Haigst - Marienplatz (Zahnradbahn Zacke)","0"
"vvs-21-020-1","vvs-01","20","Südheimer Platz - Waldfriedhof (Seilbahn)","0"
"vvs-30-001e-1","vvs-01","U1E","Heslach Vogelrain - Marienplatz","3"
"vvs-30-013e-1","vvs-01","U13E","Bad Cannstatt Wilhelmsplatz - Eszet","3"
"vvs-30-002e-1","vvs-01","U2E","Schwab-/Bebelstraße - Botnang","3"
"vvs-30-032-1","vvs-01","X2","Leonberg - Schwabstraße - Rotebühlplatz","3"
"vvs-30-033-1","vvs-01","10","Marienplatz - Degerloch (Zackebus)","3"
"vvs-30-034-1","vvs-01","X4","Nürtingen - Bernhausen - Degerloch","3"
"vvs-30-037-1","vvs-01","X7","Harthausen - Landhaus - Degerloch","3"
"vvs-30-040-1","vvs-01","40","Vogelsang - Hauptbahnhof - Wagenburgstraße","3"
"vvs-30-041-1","vvs-01","41","Berliner Platz - Feuersee - Lerchenrainschule","3"
"vvs-30-042-1","vvs-01","42","Erwin-Schoettle-Platz - Hauptbahnhof - Schlossplatz","3"
"vvs-30-043-1","vvs-01","43","Feuersee - Rotebühlplatz (Stadtmitte) - Pragsattel","3"
"vvs-30-044-1","vvs-01","44","Westbahnhof - Hauptbahnhof - Killesberg","3"
"vvs-30-044e-1","vvs-01","44E","Westbahnhof - Hauptbahnhof - Killesberg","3"
"vvs-30-045-1","vvs-01","45","Buchwald - Wagenburgstraße - Mercedes-Benz-Welt - Bad Cannstatt","3"
"vvs-30-047-1","vvs-01","47","Hauptbahnhof - Wagenburgstraße","3"
"vvs-30-050-1","vvs-01","50","Westbahnhof - Doggenburg - Killesberg","3"
"vvs-30-052-1","vvs-01","52","Rosensteinbrücke - Hallschlag - Borkumstraße - (- Korntaler Straße)","3"
"vvs-30-053-1","vvs-01","53","(Feuerbach -) Zuffenhausen - Zazenhausen - Mühlhausen","3"
"vvs-30-054-1","vvs-01","54","(Sommerrain -) Neugereut - Mühlhausen - Freiberg","3"
"vvs-30-056-1","vvs-01","56","Münster - Rosensteinbrücke","3"
"vvs-30-057-1","vvs-01","57","Pragsattel - R.-Bosch-Krankenhaus - Burgholzhof","3"
"vvs-30-058-1","vvs-01","58","(Sommerrain -) Obere Ziegelei - Schmiden","3"
"vvs-30-059-1","vvs-01","59","Münster Rathaus - Münster Friedhof","3"
"vvs-30-060-1","vvs-01","60","Untertürkheim - Fellbach - Oeffingen","3"
"vvs-30-061-1","vvs-01","61","Obertürkheim - Untertürkheim - Rotenberg","3"
"vvs-30-062-1","vvs-01","62","Rohracker - Obertürkheim - Uhlbach","3"
"vvs-30-062e-1","vvs-01","62E","Rohracker - Obertürkheim - Uhlbach","3"
"vvs-30-064-1","vvs-01","64","Stelle - Frauenkopf","3"
"vvs-30-065-1","vvs-01","65","(Uhlbach -) Obertürkheim - Plieningen - Flughafen/Messe (SAB)","3"
"vvs-30-065e-1","vvs-01","65E","Flughafen/Messe (SAB) - Plieningen - Obertürkheim (- Uhlbach)","3"
"vvs-30-066-1","vvs-01","66","Kühwasen - Geschwister- Scholl-Gymnasium","3"
"vvs-30-070-1","vvs-01","70","Plieningen - Ruhbank (Fernsehturm) (- Hoffeld)","3"
"vvs-30-070e-1","vvs-01","70E","Plieningen - Ruhbank (Fernsehturm) (- Hoffeld)","3"
"vvs-30-071-1","vvs-01","71","Schönberg - Degerloch ZOB - Hoffeld","3"
"vvs-30-072-1","vvs-01","72","Fasanenhof - Möhringen Rathaus - Möhringen","3"
"vvs-30-073-1","vvs-01","73","Neuhausen - Plieningen Garbe - Degerloch","3"
"vvs-30-074-1","vvs-01","74","Nürtingen - Bernhausen - Degerloch","3"
"vvs-30-076-1","vvs-01","76","Echterdingen - Bernhausen - Degerloch","3"
"vvs-30-076e-1","vvs-01","76E","Echterdingen - Bernhausen - Degerloch","3"
"vvs-30-077-1","vvs-01","77","Degerloch - Echterdingen - Harthausen","3"
"vvs-30-080-1","vvs-01","80","Vaihingen Bf (Ost) - Synergiepark - Vaihingen Bf (Ost)","3"
"vvs-30-081-1","vvs-01","81","Dürrlewang - Vaihingen - Büsnau","3"
"vvs-30-082-1","vvs-01","82","(Leinfelden Bf -) Rohr Mitte - Hans-Rehn-Stift - Vaihingen - Waldeck","3"
"vvs-30-084-1","vvs-01","84","Universität - Sindelfingen - Vaihingen","3"
"vvs-30-086-1","vvs-01","86","Leinfelden - Rohr Mitte - Vaihingen","3"
"vvs-30-090-1","vvs-01","90","Giebel - Weilimdorf - Korntal","3"
"vvs-30-090e-1","vvs-01","90E","Giebel - Weilimdorf - Korntal","3"
"vvs-30-091-1","vvs-01","91","(Büsnauer Platz -) Lauchhau - Botnang - Feuerbach","3"
"vvs-30-092-1","vvs-01","92","Heslach Vogelrain - Leonberg - Stuttgart Rotebühlplatz","3"
"vvs-30-098-1","vvs-01","98","Tagfalterweg - Stammheim","3"
"vvs-30-099-1","vvs-01","99","Zuffenhausen - Schlotwiese - Korntaler Straße","3"
"vvs-31-101-1","vvs-69","101","Obertürkheim - Esslingen (N) ZOB - Lerchenäcker","3"
"vvs-31-102-1","vvs-69","102","Mettingen - Weil - Esslingen (N) ZOB - Zell","3"
"vvs-31-103-1","vvs-69","103","Hedelfingen - Weil - Esslingen (N) ZOB - Zell","3"
"vvs-31-104-1","vvs-69","104","Deizisau - Sirnau - Industriegebiet - Esslingen (N) ZOB","3"
"vvs-31-105-1","vvs-69","105","Essl. (N) Am Schönen Rain - Klinikum Esslingen - Essl. (N) ZOB","3"
"vvs-31-106-1","vvs-99","106","(Winterbach -) Hohengehren - Baltmannsweiler - Esslingen (N) ZOB","3"
"vvs-31-107-1","vvs-99","107","Aichelberg - Schanbach - Aichschieß - Plochingen","3"
"vvs-31-108-1","vvs-69","108","(Dulkhäusle -) Jägerhaus - Esslingen (N) ZOB","3"
"vvs-31-108P-1","vvs-69","108P","Esslingen (N) ZOB - Kennenburg","3"
"vvs-31-109-1","vvs-69","109","Esslingen ZOB - Sulzgries - Rüdern / Neckarhalde","3"
"vvs-31-110-1","vvs-69","110","Wiflingshausen - Wäldenbronn - Hohenkreuz - Esslingen ZOB","3"
"vvs-31-111-1","vvs-69","111","Esslingen ZOB - St. Bernhardt - Serach","3"
"vvs-31-113-1","vvs-69","113","Berkheim - Adenauerbrücke / - Zollberg - Essl. (N) ZOB","3"
"vvs-31-114-1","vvs-99","114","Endersbach - Beutelsbach - Aichwald - Esslingen (N) ZOB","3"
"vvs-31-114a-1","vvs-99","114A","Schülerverkehr: Aichwald - Zell Berufliches Schulzentrum","3"
"vvs-31-115-1","vvs-69","115","Zell - Oberesslingen - Esslingen (N) ZOB","3"
"vvs-31-118-1","vvs-69","118","Esslingen (N) ZOB - Pliensauvorstadt - Zollberg - Esslingen (N) ZOB","3"
"vvs-31-119-1","vvs-32","119","Denkendorf - Nellingen - Esslingen (N)","3"
"vvs-31-120-1","vvs-32","120","(Wolfschlugen -) Neuhausen - Nellingen - Esslingen (N)","3"
"vvs-31-121-1","vvs-32","121","Neuhausen - Denkendorf - Oberesslingen","3"
"vvs-31-122-1","vvs-32","122","Flughafen/Messe - Scharnhausen - Esslingen (N)","3"
"vvs-31-130-1","vvs-32","130","(Scharnhausen -) Kemnat - Heumaden - Ruit - Esslingen (N)","3"
"vvs-31-131-1","vvs-32","131","Esslingen (N) - Ruit - Heumaden - Kemnat","3"
"vvs-31-132-1","vvs-69","132","Rüdern - Sulzgries - Serach - St. Bernhard - Oberesslingen","3"
"vvs-31-138-1","vvs-69","138","Berkheim - Sirnau - Zell - Oberesslingen - Jägerhaus","3"
"vvs-31-140-1","vvs-140","140","Plochingen - Altbach - Oberesslingen - (Esslingen (N) )","3"
"vvs-31-141-1","vvs-140","141","Plochingen ZOB - Lettenäcker - Stumpenhof","3"
"vvs-31-142-1","vvs-140","142","Reichenbach Bahnhof - Rißhalde - Siegenberg - Bahnhof","3"
"vvs-31-143-1","vvs-140","143","Plochingen - Deizisau","3"
"vvs-31-144-1","vvs-140","144","Reichenbach (F) -  Hochdorf - Kirchheim (T)","3"
"vvs-31-145-1","vvs-99","145","Wernau (N) Bahnhof - Katzenstein - Schmalwiesen - Bahnhof [Stadtverkehr Wernau (Neckar)]","3"
"vvs-31-146-1","vvs-99","146","Wernau (N) Bahnhof - Schmalwiesen - Katzenstein - Bahnhof [Stadtverkehr Wernau (Neckar)]","3"
"vvs-31-147-1","vvs-140","147","Plochingen - Hochdorf - Plochingen","3"
"vvs-31-147a-1","vvs-140","147A","Hochdorf - Reichenbach (F) / Plochingen (Schülerverkehr)","3"
"vvs-31-148-1","vvs-140","148","Reichenbach Bahnhof - Siegenberg - Rißhalde - Bahnhof","3"
"vvs-31-149-1","vvs-140","149","(Engelberg -) Baltmannsweiler - Reichenbach (F) - Plochingen","3"
"vvs-31-151-1","vvs-26","151","Wendlingen (N) ZOB - Köngen - Wendlingen (N)","3"
"vvs-31-154-1","vvs-26","154","Wendlingen (N) ZOB - Weinhalde - ZOB","3"
"vvs-31-155-1","vvs-26","155","Wendlingen (N) ZOB - Unterboihingen - ZOB","3"
"vvs-31-155a-1","vvs-26","155A","Wendlingen (N) Schulzentrum - Sporthalle Im Speck - Schulzentrum","3"
"vvs-31-159-1","vvs-140","159","Plochingen ZOB - Gewerbegebiet Filsallee","3"
"vvs-31-161-1","vvs-99","161","Ötlingen - Kirchheim (T) ZOB -  Altvaterweg","3"
"vvs-31-163-1","vvs-99","163","Kirchheim (T) Schafhof - ZOB - Lindorf - Ötlingen","3"
"vvs-31-164-1","vvs-99","164","Kirchheim (T) Schafhof - Martktplatz - ZOB - Ötlingen","3"
"vvs-31-165-1","vvs-99","165","Zell - Ohmden - Kirchheim (T) ZOB - Notzingen - Wellingen","3"
"vvs-31-165a-1","vvs-99","165A","Alte Plochinger Steige - Saarstraße - Kirchheim (T) ZOB","3"
"vvs-31-166-1","vvs-99","166","Nürtingen - Nürtingen Krankenhaus - Reudern - Kirchheim (T)","3"
"vvs-31-166a-1","vvs-99","166A","Nürtingen - Nürtingen Krankenhaus - Reudern - Kirchheim (T)","3"
"vvs-31-167-1","vvs-99","167","Nürtingen - Oberensingen - Grötzingen - Aich (- Neuenhaus)","3"
"vvs-31-168-1","vvs-99","168","Reichenbach (F) -  Hochdorf - Notzingen - Wernau (N)","3"
"vvs-31-169-1","vvs-26","169","Nürtingen ZOB - Oberensingen Bachhalde - Nürtingen ZOB","3"
"vvs-31-170-1","vvs-98","170","RadWanderBus: Schopfloch/Wiesensteig - Reußenstein - Holzmaden - Kirchheim (T)","3"
"vvs-31-171-1","vvs-98","171","Kirchheim - Holzmaden - (Ohmden)","3"
"vvs-31-173-1","vvs-98","173","Kirchheim (T) - Holzmaden - Weilheim (T) - Bissingen (T) - Kirchheim (T)","3"
"vvs-31-173a-1","vvs-98","173A","Kirchheim (T) - Weilheim (T) - Bissingen (T) - Kirchheim (T)","3"
"vvs-31-174-1","vvs-98","174","Neidlingen - Hepsisau - Weilheim (T) und zurück","3"
"vvs-31-175-1","vvs-98","175","Kirchheim (T) - Bissingen (T) - Weilheim (T) - Holzmaden - Kirchheim (T)","3"
"vvs-31-175a-1","vvs-98","175A","Kirchheim (T) - Bissingen (T) - Weilheim (T) - Kirchheim (T)","3"
"vvs-31-176-1","vvs-98","176","Oberlenningen - Bissingen (T) - Dettingen (T) - Kirchheim (T)","3"
"vvs-31-177-1","vvs-98","177","Oberlenningen - Owen - Kirchheim (T) Kirchheim (T) - Weilheim (T) - Neidlingen","3"
"vvs-31-177a-1","vvs-98","177A","Oberlenningen - Kirchheim (T) - Weilheim (T) - Neidlingen","3"
"vvs-31-178-1","vvs-28","178","Owen - Beuren","3"
"vvs-31-179-1","vvs-28","179","(Neuffen -) Beuren - Erkenbrechtsweiler - Oberlenningen","3"
"vvs-31-180-1","vvs-28","180","Nürtingen - Neuffen - Beuren - Kohlberg - Tischardt - Nürtingen","3"
"vvs-31-181-1","vvs-26","181","Nürtingen ZOB - Rieth - Owen Bf","3"
"vvs-31-182-1","vvs-26","182","Nürtingen ZOB - Roßdorf","3"
"vvs-31-182a-1","vvs-26","182A","Schülerverkehr Neckarhausen - Nürtingen Roßdorf","3"
"vvs-31-183-1","vvs-26","183","Roßdorf (- Waldfriedhof) - Braike - Nürtingen ZOB","3"
"vvs-31-184-1","vvs-26","184","Wendlingen - Unterensingen - Zizishausen - Nürtingen","3"
"vvs-31-185-1","vvs-26","185","Nürtingen - Bempflingen - Kleinbettlingen (- Grafenberg)","3"
"vvs-31-185a-1","vvs-26","185A","Schülerverkehr Nürtingen - Großbettlingen - Grafenberg","3"
"vvs-31-186-1","vvs-26","186","Nürtingen Hardt - ZOB - medius Klinik","3"
"vvs-31-187-1","vvs-99","187","Neckartenzlingen - Bempflingen - Metzingen","3"
"vvs-31-187a-1","vvs-99","187A","Kleinbettlingen - Bempflingen - Neckartenzlingen","3"
"vvs-31-188-1","vvs-99","188","Nürtingen - Altdorf - Neckartenzlingen (- Schlaitdorf)","3"
"vvs-31-188a-1","vvs-99","188A","N. Auwiesenschule - Neckartailfingen/Altenried/Schlaitdorf","3"
"vvs-31-189-1","vvs-99","189","Nürtingen - Neckartailfingen - Schlaitdorf - Neckartenzlingen","3"
"vvs-31-189a-1","vvs-99","189A","Walddorf Gustav-Werner-Schule - Schlaitdorf - Neckartailfingen","3"
"vvs-31-191-1","vvs-28","191","Oberlenningen - Hohenneuffen - Neuffen","3"
"vvs-31-192-1","vvs-28","192","Kappishäusern - Kohlberg - Neuffen","3"
"vvs-31-193-1","vvs-26","193","Nürtingen ZOB - Neuffener Straße - Schelmenwasen","3"
"vvs-31-195-1","vvs-26","195","Nürtingen - Großbettlingen - Frickenhausen","3"
"vvs-31-196-1","vvs-26","196","Wendlingen (N) - Oberboihingen - Nürtingen","3"
"vvs-31-198-1","vvs-28","198","Frickenhausen - Tischardt - Kohlberg (- Neuffen)","3"
"vvs-31-199-1","vvs-28","199","Beuren - Neuffen - Kohlberg - Metzingen","3"
"vvs-31-201-1","vvs-26","201","Bittenfeld - Hohenacker - Neustadt - Waiblingen","3"
"vvs-31-201a-1","vvs-26","201A","Bittenfeld - Hohenacker - Neustadt - Waiblingen","3"
"vvs-31-202-1","vvs-26","202","Strümpfelbach - Endersbach","3"
"vvs-31-204-1","vvs-26","204","(Endersbach -) Beinstein - Waiblingen - Hegnach","3"
"vvs-31-205-1","vvs-98","205","Waiblingen - Schmiden","3"
"vvs-31-206-1","vvs-26","206","Schnait - Beutelsbach - Endersbach - Waiblingen","3"
"vvs-31-206a-1","vvs-26","206A","Remshalden / Engelberg - Weinstadt","3"
"vvs-31-207-1","vvs-98","207","(Korb -) Korber Höhe - Waiblingen Bf - Fellbach","3"
"vvs-31-208-1","vvs-98","208","Waiblingen Bf - Altstadt - Galgenberg - Altstadt - Waiblingen Bf (Citybus 1)","3"
"vvs-31-209-1","vvs-98","209","Endersbach - Kleinheppach - Korb - Waiblingen","3"
"vvs-31-210-1","vvs-99","210","Fellbach - Remspark - Rommelshausen","3"
"vvs-31-211-1","vvs-99","211","Stetten i. R. - Rommelshausen - Waiblingen","3"
"vvs-31-212-1","vvs-99","212","Stetten i. R. - Rommelshausen - Fellbach","3"
"vvs-31-214-1","vvs-99","214","Fellbach - Neckargröningen","3"
"vvs-31-215-1","vvs-99","215","Fellbach Altenheim - Bahnhof (- Gewerbegebiet)","3"
"vvs-31-216-1","vvs-98","216","Waiblingen Bf - Industriegebiet Eisental - Waiblingen Bf","3"
"vvs-31-217-1","vvs-91","217","Rohrbronn - Geradstetten - Grunbach - Buoch","3"
"vvs-31-217a-1","vvs-91","217A","Schülerverkehr Remshalden","3"
"vvs-31-218-1","vvs-98","218","Waiblingen Bf - Friedhof - Altstadt - Wasserstube   - Altstadt - Friedhof - Waiblingen Bf  (Citybus 2)","3"
"vvs-31-219-1","vvs-99","219","Stetten i. R. - Endersbach","3"
"vvs-31-228-1","vvs-88","228","Kaisersbach - Rudersberg (- Schorndorf)","3"
"vvs-31-229-1","vvs-88","229","Necklinsberg - Krehwinkel - Steinenberg - Miedelsbach","3"
"vvs-31-230-1","vvs-88","230","Lindental / Necklinsberg - Rudersberg - Mannenberg und zurück","3"
"vvs-31-234-1","vvs-140","234","Oppelsbohm - Necklinsberg - Schornbach - Schorndorf","3"
"vvs-31-241-1","vvs-140","241","Unterberken - Oberberken - Schorndorf","3"
"vvs-31-242-1","vvs-140","242","Schorndorf Bahnhof- Rems-Murr-Klinik - Spittler Stift - Grauhalde - Rems-Murr-Klinik - Bahnhof","3"
"vvs-31-242a-1","vvs-140","242A","Schülerverkehr Schorndorf","3"
"vvs-31-243-1","vvs-140","243","Plüderhausen - Urbach - Schorndorf","3"
"vvs-31-243a-1","vvs-140","243A","Plüderhausen - Urbach - Schorndorf","3"
"vvs-31-244-1","vvs-140","244","Oppelsbohm - Birkenweißbuch - Schornbach - Schorndorf","3"
"vvs-31-244a-1","vvs-140","244A","Schülerverkehr Oppelsbohm - Necklinsberg - Schornbach - Schorndorf","3"
"vvs-31-245-1","vvs-140","245","(Erlenhof -) Hößlinswart - Rohrbronn - Weiler - Schorndorf","3"
"vvs-31-245a-1","vvs-140","245A","Geradstetten - Winterbach - Schorndorf","3"
"vvs-31-246-1","vvs-140","246","Schorndorf Wiesenstraße - Erlensiedlung - Bahnhof","3"
"vvs-31-247-1","vvs-140","247","Schorndorf Bahnhof - Grauhalde - Alte Steige - Neuer Friedhof - Bahnhof","3"
"vvs-31-248-1","vvs-140","248","Plüderhausen - Urbach - Schorndorf","3"
"vvs-31-249-1","vvs-140","249","Urbach Bf - Urbach Banrain - Schorndorf","3"
"vvs-31-250-1","vvs-91","250","Waldhausen - Walkersbach (- Welzheim)","3"
"vvs-31-257-1","vvs-88","257","Gschwend - Welzheim","3"
"vvs-31-262-1","vvs-140","262","Plochingen - Reichenbach (F) - Schorndorf","3"
"vvs-31-263-1","vvs-88","263","Kaisersbach - Welzheim - Schorndorf","3"
"vvs-31-264-1","vvs-88","264","Welzheim - Kaisersbach","3"
"vvs-31-266-1","vvs-88","266","Alfdorf - Welzheim","3"
"vvs-31-266a-1","vvs-88","266A","Schwäbisch Gmünd - Mutlangen - Alfdorf - Welzheim","3"
"vvs-31-269-1","vvs-88","269","Vordersteinenberg - Alfdorf","3"
"vvs-31-330-1","vvs-88","330","Welzheim - Rudersberg - Oppelsbohm Rems-Murr-Klinikum - Winnenden","3"
"vvs-31-331-1","vvs-91","331","Winnenden - Breuningsweiler - Steinach (- Bretzenacker)","3"
"vvs-31-332-1","vvs-91","332","Hanweiler - Schelmenholz - Rems-Murr-Klinikum -  Winnenden - Hertmannsweiler","3"
"vvs-31-333-1","vvs-91","333","Winnenden - Buoch (- Rohrbronn)  (Fahrrad2Go)","3"
