source_id,original_uid,name,type,purpose,lat,lon,capacity,opening_hours,has_realtime_data,static_data_updated_at
64,79151317,Rathausgarage,UNDERGROUND,CAR,48.7741000,9.1778700,0,24/7,False,2025-04-29T06:56:45Z
26,7307,"Fürth, Hornschuch-Center",CAR_PARK,CAR,49.4696970,10.9941750,685,24/7,False,2025-10-14T09:34:24Z
27,herrenbergwasenaeckerhalle,Wasenäckerhalle,OFF_STREET_PARKING_GROUND,CAR,48.6226410,8.8283090,48,Mo-Su 00:00-24:00,False,2025-12-10T01:02:03Z
45,847,Kinderhaus Keltenstra??e 11,STANDS,BIKE,48.6147510,8.8380949,10,,False,2023-09-19T00:00:00Z
9,1136,Geradstetten,OFF_STREET_PARKING_GROUND,CAR,48.8063842,9.4404561,68,24/7,False,2025-11-19T10:09:31Z
8,4,AQUAtoll P1,OFF_STREET_PARKING_GROUND,CAR,49.1900448,9.2448720,203,24/7,False,2025-11-19T10:09:34Z
23,P8_Parkdeck_Altstadt_Haagstrasse,P8 Parkdeck Altstadt Haagstraße,CAR_PARK,CAR,49.5221108,9.3265143,60,,True,2025-12-10T12:32:00Z
62,143,Kelterstraße,ON_STREET,CAR,48.8964859,8.6018843,2,24/7,False,2023-08-30T12:00:00Z
38,INFRA-ch:23017:55720-FAHRRADANLAGE-1,Parkplatz,BUILDING,BIKE,47.6996733,8.6342504,1200,,False,2025-12-10T01:03:36Z
48,D5_Reiß-Museum,D5 Reiß-Museum,CAR_PARK,CAR,49.4887902,8.4620728,364,,True,2025-12-10T12:36:00Z
26,1413,"Hamburg, CIM Falkenried",UNDERGROUND,CAR,53.5856160,9.9714490,354,24/7,False,2025-10-02T09:13:37Z
48,PH21,N1 Stadthaus,CAR_PARK,CAR,49.4862825,8.4653558,335,,True,2025-12-10T12:36:00Z
60,53062237-9.525-21.725,Richard-Kuhn-Straße,ON_STREET,CAR,49.4161191,8.6512408,2,,False,2025-12-10T01:02:59Z
38,INFRA-de:08222:2417-FAHRRADANLAGE-12,Parkplatz,STANDS,BIKE,49.4805952,8.4712355,28,,False,2025-12-10T01:03:37Z
38,INFRA-de:08317:13105-FAHRRADANLAGE-1,Parkplatz,STANDS,BIKE,48.5636258,7.8345047,8,,False,2025-12-10T01:03:37Z
38,INFRA-de:08317:16220-FAHRRADANLAGE-1,Parkplatz,STANDS,BIKE,48.3817210,7.8627947,24,,False,2025-12-10T01:03:37Z
38,INFRA-de:08317:18420-FAHRRADANLAGE-1,Parkplatz,WALL_LOOPS,BIKE,48.2995340,8.0562791,20,,False,2025-12-10T01:03:37Z
38,INFRA-de:08317:33013-FAHRRADANLAGE-9,Parkplatz,STANDS,BIKE,48.6315727,8.0688328,30,,False,2025-12-10T01:03:37Z
39,INFRA-de:08226:534-PARKPLATZ-3,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.4650335,8.9846737,10,,False,2025-12-10T01:00:54Z
39,INFRA-de:08435:14623-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,47.7303018,9.3456133,50,,False,2025-12-10T01:00:55Z
39,INFRA-de:08435:32007-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,47.6830797,9.5486485,8,,False,2025-12-10T01:00:55Z
38,INFRA-de:08317:34698-FAHRRADANLAGE-1,Parkplatz,WALL_LOOPS,BIKE,48.7040557,7.9839348,12,,False,2025-12-10T01:03:37Z
38,INFRA-de:08317:34700-FAHRRADANLAGE-1,Parkplatz,WALL_LOOPS,BIKE,48.6660194,7.9436230,15,,False,2025-12-10T01:03:37Z
38,INFRA-de:08325:1336-FAHRRADANLAGE-1,Parkplatz,WALL_LOOPS,BIKE,48.3662477,8.6371338,20,,False,2025-12-10T01:03:37Z
26,4419,"Brandenburg a.d. Havel, St. Annen Galerie",CAR_PARK,CAR,52.4081220,12.5658940,375,Mo-Fr 07:30-20:30; Sa 07:30-20:30,False,2025-10-13T11:26:56Z
