tic_id,category,subcategory,road_name,distance,text,areas
CwAAAAsoKSM1IR0gOyM+LgU3KwE/JwYvJQEnNQUvJQE/JwY/GCc8BDcSLykENxI3KAUvDCc1BScGLyIFIwMtOAQ/ATsjAw==,2,9,,0,"Stuttgart, Reutlinger Straße
zwischen Hoffeldstraße und Epplestraße
in beiden Richtungen gesperrt, eine Umleitung ist eingerichtet, Baustelle, bis voraussichtlich 12.12.2025 | Degerloch | Stuttgart",
EAAAAAsoOTYtIh0oLyYhLwUvMAM3EicyCS83Aj8jAy8lAT88Ayc4ATcoBTc9Ai8iBT8jAzc2AycxAj81BC8wAzc6Bi87BTkuAycqAw==,2,9,,0,"B27 Stuttgart, Friedrichstraße bis Theodor-Heuss-Straße
zwischen Schellingstraße und Börsenplatz
rechter Fahrstreifen gesperrt, Weihnachtsmarkt, bis voraussichtlich 23.12.2025 | Mitte | Stuttgart",
CAAAAAggNjwhIx0oKCI3LgU5MwMkKgI1JAY8PQMnKgMoMQI7MgM6MwIrNAM+NAIvIgUwMAM3LwQ4PQI=,2,9,,0,"Stuttgart, Leobener Straße
zwischen B295, Steiermärker Straße und Bregenzer Straße
in beiden Richtungen gesperrt, Baustelle, eine Umleitung ist eingerichtet, bis voraussichtlich 19.12.2025 | Feuerbach | Stuttgart",
IwAAAAs4My4iORwwLTwpPwQ3LwQvIgUvIgU/JwYvIgUvKQQ/NQQ3LwQ/KA0nPQs3JhAnLw0vIjcBJyIvATcvBD88Az8uBT81BCcoDjc3Cg==,3,202,,0,"B462, B294 Schiltach
Schloßbergtunnel
in beiden Richtungen Tunnel gesperrt, technische Probleme | Schiltach | Schiltach",
GgAAAAssPDE8Ih08PjwlLwU8JAY8KwUwNwIoOAEgJAMoOAEoKgMgMgEwMhEwNwIwMAM/GCg8BDcrASA+Cic8BCAkAzckAj49BCUuAw==,2,9,,6,"B27 Stuttgart, Heilbronner Straße
in Höhe Löwentorbrücke
linker Fahrstreifen gesperrt, Baustelle, Verkehrsbehinderung, bis voraussichtlich 14.12.2025 | Nord | Stuttgart",
NgAAAAsgLDw4MBw4Njk6OgQ4JAInNgwwJQEvPwgvMAM3Oh8vMAMnJAs/OQcvLxUnKgM/KwkvNwI/OQc3KAUnNgw3PgknMBQwOzcBNy0P,3,202,,0,"B500 Altglashütten
zwischen Ortseingang und Hasleweg
alle Fahrbahnen geräumt | Altglashütten | Feldberg (Schwarzwald)",
FgAAAAsgIzwuIh0gPT0nLwUnNQUnIwQvOwUnIwQnKgM3PQI3LwQ3LwQnNxMnMxAvMAM3JAInPhI3MAsvMAM3JAIvMAM3JAI/IwMvPgE=,2,9,,0,"B14 Stuttgart, Unterführung Gebhard-Müller-Platz
zwischen Willy-Brandt-Straße und Konrad-Adenauer-Straße
in beiden Richtungen Dauerbaustelle, linke Fahrstreifen gesperrt für LKW | Mitte | Stuttgart",
AgAAAAIwJz0tIh0wJDsmLwUnIwQwKQQ=,2,9,,0,"Stuttgart, Gebhard-Müller-Platz, B14 Neckartor Richtung Wagenburgtunnel/Arnulf-Klett-Platz
in Höhe Gebhard-Müller-Platz (Kreuzungsbereich)
Baustelle, geänderte Verkehrsführung, Abbiegen nach links nicht möglich

Von der B14 Neckartor kommend kann nicht nach links in Richtung Wagenburgtunnel/Stuttgart-Ost abgebogen werden. Eine Umleitung ist eingerichtet. | Mitte | Stuttgart",
CwAAAAs4Ij8wIh0gMzw2LgUgGSA2BCAZOC8EOBI4NgMwDDA3AjAMMDcCMAwgLwUoBigqAwA4NgMAKCoDJwYwNwI=,2,9,,0,"Stuttgart, Herdweg
zwischen Dillmannstraße und Lessingstraße
in beiden Richtungen gesperrt, Baustelle, eine Umleitung ist eingerichtet, bis voraussichtlich 06.02.2026 | Nord | Stuttgart",
CgAAAAomPyIiIx0yIys5LgUtBzEMNyQCNz0CPyMDPzwDLzcCJyoDJycHLzEKLyIFJycHJy4GPysJLzADLyIFMwIlBA==,2,8,,19.7,"Stuttgart-Feuerbach, Bregenzer Straße
zwischen Bludenzer Straße/B295 und Leobener Straße
gesperrt, Baustelle, eine Umleitung ist eingerichtet, bis voraussichtlich 19.12.2025 | Feuerbach | Stuttgart",
